id_customer,first_name,last_name,model,brand,year,CPF,gender,license_plate,priority,affected_system
1,Rebekah,M'cowis,Supra,Toyota,1993,7498941163,Female,1GYS4HEF2BR439590,false,bodywork
2,Arch,DelaField,Blazer,Chevrolet,1997,6549132320,Male,2G4GP5EC9B9008841,true,motor
3,Byron,Brewett,Eclipse,Mitsubishi,2005,5594162763,Male,3GYFK66N66G074676,true,motor
4,Adah,Anten,3500,Chevrolet,1993,0048522783,Female,WAUDH78E06A485789,false,bodywork
5,Jere,Jiruca,Classic,Chevrolet,2004,7593618862,Male,5NPDH4AE0CH747259,false,steering
6,Eryn,Winspare,Grand Cherokee,Jeep,2006,4643824700,Female,WBA1F9C53FV467078,true,steering
7,Shelagh,Ludmann,Mystique,Mercury,2000,3349950035,Female,JH4CU2F63CC473241,true,motor
8,Bennett,Ferfulle,Bronco,Ford,1990,6100528991,Male,WBAFU9C57CD967998,true,bodywork
9,Frank,Laval,Continental Flying Spur,Bentley,2006,0854572783,Female,WBAYB6C59DC667254,true,steering
10,Kimble,Hold,Dakota,Dodge,2011,8077273807,Male,WAUEL74F85N828356,false,motor
11,Buiron,Gunning,A4,Audi,2010,6067757907,Male,JTEBU4BF2AK716602,true,bodywork
12,Ingunna,Erswell,Focus,Ford,2013,4524137580,Female,3GYFNAE38CS288913,false,steering
13,Dulcine,McPaik,4Runner,Toyota,2008,1949157237,Female,WDDHH8JB1FB766171,true,bodywork
14,Guy,Grinsted,Skylark,Buick,1985,1268745391,Male,2T1BU4EE3CC192016,true,motor
15,Gaylord,Bounde,500SEL,Mercedes-Benz,1992,1025251849,Male,JM1GJ1U58F1083770,false,steering
16,Jessi,Reilingen,Cavalier,Chevrolet,2004,7777484125,Female,3GYFNJE43AS037240,false,steering
17,Clary,Bruins,928,Porsche,1990,9113555960,Female,1FMNE1BW9AD150495,true,steering
18,Charlotta,Walkinshaw,7 Series,BMW,2008,0760791368,Female,WAULL44E06N299158,false,steering
19,Kerrin,Dibsdale,Pathfinder,Nissan,2004,0763637114,Female,JA32X8HW7EU880236,true,bodywork
20,Perice,Moodie,Silverado,Chevrolet,2007,8148422117,Male,WBAYM1C53FD837344,true,bodywork
21,Nev,Argyle,rio,Volkswagen,1996,5827327484,Male,5N1AN0NU9CC275334,true,motor
22,Antonia,Blamire,9-3,Saab,2006,8011209639,Female,WAUCFAFH0BN496967,true,bodywork
23,Finley,Vittel,Forenza,Suzuki,2005,1858150280,Male,SCFAD01E19G505411,true,bodywork
24,Maris,Kerrich,Paseo,Toyota,1994,9174501828,Female,WAU3FAFR5DA575103,true,motor
25,Valentina,De Carolis,530,BMW,2007,7526890181,Female,5UXKS4C5XF0002413,true,bodywork
26,Davey,Pacheco,Explorer Sport Trac,Ford,2008,3583755138,Male,JTDKDTB30E1973208,false,steering
27,Henrieta,Benini,A4,Audi,2003,2225072795,Female,WA1CFAFP0BA103495,true,steering
28,Morrie,Peer,Transit Connect,Ford,2013,1695484789,Male,1VWAH7A31DC484373,false,steering
29,Rosene,Schutte,Vanquish S,Aston Martin,2005,6102068149,Female,3N1AB6AP7AL888461,true,bodywork
30,Elijah,Rain,Evora,Lotus,2010,5653502421,Male,2T3BF4DV6BW943464,false,bodywork
31,Lorita,Amiranda,Escape,Ford,2002,1203683707,Female,WAUKFAFL1CA308269,false,motor
32,Kelsey,Jasper,Tiburon,Hyundai,2008,9293027291,Male,SALFP2BG5FH788501,true,motor
33,Marie,Bathow,Routan,Volkswagen,2011,5802718919,Female,WAUDF98E55A681534,false,motor
34,Lorri,Bowen,Vibe,Pontiac,2009,9336485407,Female,1N6AF0LY9FN664133,false,steering
35,Rafaelia,Twelftree,CL-Class,Mercedes-Benz,2003,5414940932,Female,WAUBNBFB8AN031108,true,steering
36,Alta,Christene,Truck Xtracab SR5,Toyota,1989,1911934805,Female,WAUDK78T69A340812,true,steering
37,Ketty,Stigger,207,Peugeot,2006,4244020942,Female,WAUGFAFC7DN673698,false,motor
38,Rasla,Enever,Ram 3500,Dodge,1995,2410757448,Female,5BZAF0AAXEN556451,true,steering
39,Rayner,MacCallion,7 Series,BMW,1993,3279240603,Male,1GD311CG4FF847310,false,steering
40,Llywellyn,McVitty,GranTurismo,Maserati,2008,5266512717,Male,WAUJFAFH0BN322923,false,steering
41,Matthieu,Runcie,7 Series,BMW,1997,7204745809,Male,SCBGH3ZA1EC804028,false,steering
42,Massimiliano,Bramhall,CL-Class,Mercedes-Benz,2008,7770765587,Male,WAULV44E17N665513,true,motor
43,Reta,Dohr,M3,BMW,1996,1523544929,Female,3VW517AT4EM518313,true,steering
44,Jazmin,Finlan,Altima,Nissan,1999,0761995307,Female,JH4CU2F64AC470927,true,bodywork
45,Shannon,Cringle,4Runner,Toyota,2010,1893870936,Male,WAUDF98E68A779590,true,bodywork
46,Beverlee,Woodford,ES,Lexus,2010,1863422250,Female,SCFFDAAE8BG811197,true,bodywork
47,Nell,Andrin,Forester,Subaru,2003,5906395598,Female,5NPDH4AE9CH244457,false,bodywork
48,Leicester,Meron,Sedona,Kia,2010,6236244065,Male,1G4HA5EM8AU611862,true,motor
49,Jaime,Vowden,H3,Hummer,2008,9289598239,Female,WBADX1C5XDJ301141,true,steering
50,Alex,Eisikowitz,CC,Volkswagen,2011,2389924786,Female,SAJWA4ECXEM307114,true,steering
51,Ferris,Janse,MKS,Lincoln,2010,0374873038,Male,WBAXA5C57FD483405,false,bodywork
52,Adan,Mithon,Eurovan,Volkswagen,1994,0092868142,Male,1G6AP5SX1E0805247,true,steering
53,Lothario,Blackmuir,Silhouette,Oldsmobile,1997,6624800658,Male,1D7RW3BK1AS788448,true,bodywork
54,Osborn,Ianetti,Galant,Mitsubishi,1986,9045331942,Male,5UXFB53564L667442,true,motor
55,Consuela,Bassett,Previa,Toyota,1997,6472248273,Female,2FMGK5B86EB702198,true,motor
56,Cinderella,Pietersma,Samurai,Suzuki,1995,5930280312,Female,3GTU2YEJ5BG147294,false,steering
57,Bartram,Radnage,E250,Ford,2005,3795520681,Male,WAUFFAFL7BN622422,false,motor
58,Enrichetta,Rickardsson,Town & Country,Chrysler,1996,4866234555,Female,1C6RD6FK6CS019465,true,motor
59,Derry,Patman,Routan,Volkswagen,2009,4484589249,Male,1GYS4JEF5BR258930,false,steering
60,Jens,Muirhead,xA,Scion,2004,4435177676,Male,JA4AS2AWXDU657877,true,steering
61,Thomasin,Percival,Park Avenue,Buick,1999,8798375075,Female,3C63DRAL0CG409654,true,motor
62,Angus,Maynell,M3,BMW,2001,4350236198,Male,W04G15GV1B1676944,true,steering
63,Bastien,Ferris,Maxima,Nissan,2009,2497365857,Male,JH4CL95844C934205,false,motor
64,Norman,Barensky,Corrado,Volkswagen,1990,7098610119,Male,3D7TT2CT4AG201764,true,bodywork
65,Cissy,Larmour,Santa Fe,Hyundai,2008,1386554979,Female,WBABD33406P458566,false,bodywork
66,Penny,Borer,7 Series,BMW,1996,6117309864,Male,3D7TP2CT3BG614832,true,motor
67,Farrel,Aulds,SJ 410,Suzuki,1986,5561157426,Male,5N1CR2MM5EC140171,true,steering
68,Emelen,Tatersale,Sonoma Club Coupe,GMC,1996,1547324732,Male,1G6AX5S34E0364873,false,bodywork
69,Berkie,Hansel,Mariner,Mercury,2010,7842538468,Male,WAUDF98E48A869563,false,motor
70,Gwyn,Maggiori,GTI,Volkswagen,1997,0770364039,Female,WAUGGAFR0EA485857,true,motor
71,Fons,Runsey,LS,Lexus,2008,0746666314,Male,WAUCFAFH5BN285750,false,bodywork
72,Consolata,De Bell,Murano,Nissan,2010,2289171735,Female,2B3CK8CT5AH745241,true,motor
73,Ebba,Reiach,Caravan,Dodge,1985,9915320469,Female,1N6AF0LY6FN652831,true,motor
74,Binny,Tremoille,Ascender,Isuzu,2003,4744822932,Female,WVWED7AJ0DW697182,true,steering
75,Richmond,Claque,A5,Audi,2012,6542781730,Male,WA1YD54B84N102178,false,steering
76,Frederick,Koschek,Jetta,Volkswagen,1994,9787456703,Male,2LMDJ6JK1DB639591,true,bodywork
77,Osmund,Brayson,XC60,Volvo,2010,2118154844,Male,1G6DG8E50D0100849,false,motor
78,Andrej,Ahmad,Thunderbird,Ford,1980,9386784939,Male,3N1AB6AP6BL429620,true,bodywork
79,Hymie,Muress,Spirit,Dodge,1993,2767173017,Male,YV4902BZ2B1507717,true,steering
80,Nerta,Kohler,4000s Quattro,Audi,1986,4850187315,Female,WAUVC58E55A381434,false,motor
81,Reginald,Jopke,2500,GMC,1999,9944351997,Male,WAUAF98E57A249449,true,bodywork
82,Issy,Josefson,SL-Class,Mercedes-Benz,1986,9620290941,Female,SAJWA0FB6CL482932,true,motor
83,Carling,Bewshire,LS Hybrid,Lexus,2010,7585666144,Male,JTHDU1EF9C5917906,false,steering
84,Jamie,Barefoot,C-Class,Mercedes-Benz,2005,0520217659,Male,2G61V5S34D9904622,true,motor
85,Heall,Thornebarrow,Challenger,Dodge,2011,8836029825,Male,WBA3B1C58FK471229,true,motor
86,Melessa,Clelle,88,Oldsmobile,1993,8983911093,Female,WBANE73596B385754,false,steering
87,Clarissa,Adamolli,Quantum,Volkswagen,1984,3232003621,Female,JA32U1FU9BU840284,true,bodywork
88,Phoebe,Ricketts,Neon,Plymouth,1995,6386324722,Female,1D7RE3GK7AS158302,true,bodywork
89,Henrieta,Pierton,Monte Carlo,Chevrolet,2005,2855430682,Female,1FTWW3B58AE150460,false,motor
90,Der,Coolahan,Fusion,Ford,2013,1075589606,Male,WBA3T7C56F5360984,false,steering
91,Maryellen,Tamsett,3 Series,BMW,1995,2477595717,Female,WAUSF98K09A404986,true,motor
92,Urson,Batalle,Optima,Kia,2007,6841532538,Male,3D4PH9FG5BT046707,true,steering
93,Alan,Etridge,Acadia,GMC,2008,4580486455,Male,JM3TB2CV0F0830861,false,bodywork
94,Bond,Tritton,Coupe GT,Audi,1985,5374253212,Male,2T1BU4EE8CC965370,true,steering
95,Mehetabel,Hellsdon,Maxima,Nissan,1994,7982210872,Female,19UUA755X8A792435,true,bodywork
96,Conan,Morrieson,Lancer Evolution,Mitsubishi,2003,8211329840,Male,3D73M3CL4BG562111,false,steering
